circuitId,circuit,type,direction,DRS,country,length_km,turns,straight_km,full_throttle,downforce,pit_lane_time_loss,AVR_speed,laps,grands_prix,capacity
1,Albert Park Circuit,Street circuit,Clockwise,4,Australia,5.278,14,0.75,72,medium-high,20.1,226.934,58,Australian Grand Prix,125000
2,Sepang International Circuit,Race circuit,Clockwise,2,Malaysia,5.543,15,1.029,45,high,18.95,212.104,56,Malaysian Grand Prix,130000
3,Bahrain International Circuit,Race circuit,Clockwise,3,Bahrain,5.412,16,1.205,72,medium,18.9,213.055,57,Bahrain Grand Prix,70000
4,Circuit de Barcelona-Catalunya,Race circuit,Clockwise,2,Spain,4.657,16,1.05,57,medium-high,19.6,214.343,66,Spanish Grand Prix,140700
5,Intercity Istanbul Park,Race circuit,Anti-clockwise,2,Turkey,5.338,14,0.72,69,high,17,226.778,58,Turkish Grand Prix,155000
6,Circuit de Monaco,Street circuit,Clockwise,1,Monaco,3.337,19,0.47,59,maximum,16.4,164.769,78,Monaco Grand Prix,37000
7,Circuit Gilles-Villeneuve,Street circuit,Clockwise,3,Canada,4.361,14,1.19,76,medium,18.189,213.246,70,Canadian Grand Prix,100000
9,Silverstone Circuit,Race circuit,Clockwise,2,United Kingdom,5.891,18,1.034,70,medium,21,243.494,52,British Grand Prix,164000
10,Hockenheimring,Race circuit,Clockwise,2,Germany,4.574,17,0.5,53.5,medium,11,223.182,67,German Grand Prix,70000
11,Hungaroring,Race circuit,Clockwise,2,Hungary,4.381,16,0.908,50,high,20,205.823,70,Hungarian Grand Prix,70000
12,Valencia Street Circuit,Street circuit,Clockwise,2,Spain,5.419,25,0.185,63,medium,22,198.454,57,European Grand Prix,120000
13,Circuit de Spa-Francorchamps,Race circuit,Clockwise,2,Belgium,7.004,19,1.05,75,medium,17.7,237.231,44,Belgian Grand Prix,70000
14,Autodromo Nazionale di Monza,Race circuit,Clockwise,2,Italy,5.793,11,1.52,84,low,19,257.321,53,Italian Grand Prix,118865
15,Marina Bay Street Circuit,Street circuit,Anti-clockwise,3,Singapore,4.94,19,0.832,49,maximum,20.94,178.782,62,Singapore Grand Prix,90000
17,Shanghai International Circuit,Race circuit,Clockwise,2,China,5.451,16,1.397,57.4,high,17.23,211.75,56,Chinese Grand Prix,200000
18,Autodromo José Carlos Pace,Race circuit,Anti-clockwise,2,Brazil,4.309,15,1.394,64,high,18.6,221.467,71,Brazilian Grand Prix,60000
20,Nürburgring,Race circuit,Clockwise,2,Germany,5.148,15,2.09,74,medium-high,27,210.267,60,German Grand Prix,150000
21,Autodromo Internazionale Enzo e Dino Ferrari,Race circuit,Anti-clockwise,1,Italy,4.909,21,0.358,70,high,25,235.266,63,Italian Grand Prix,78000
22,Suzuka International Racing Course,Race circuit,Different,1,Japan,5.807,18,0.994,66,high,17.65,228.372,53,Japanese Grand Prix,155000
80,Las Vegas Strip Circuit,Street circuit,Anti-clockwise,2,United States,6.201,17,1.9,66,low,29,233.779,50,Las Vegas Grand Prix,315000
24,Yas Marina Circuit,Race circuit,Anti-clockwise,2,United Arab Emirates,5.281,16,1.233,63,high,22.12,220.8,55,Abu Dhabi Grand Prix,60000
32,Autódromo Hermanos Rodríguez,Race circuit,Clockwise,3,Mexico,4.304,17,1.2,45,low,16,199.223,71,Mexican Grand Prix,110000
34,Circuit Paul Ricard,Race circuit,Clockwise,2,France,5.842,15,1.8,84,medium,27,226.776,53,French Grand Prix,90000
35,Korea International Circuit,Race circuit,Anti-clockwise,2,South Korea,5.615,18,1.125,62,medium-high,19.447,202.942,55,Korean Grand Prix,135000
39,Circuit Zandvoort,Race circuit,Clockwise,2,Netherlands,4.259,14,1.2,55,maximum,21.52,215.654,72,Dutch Grand Prix,105000
68,Buddh International Circuit,Race circuit,Clockwise,2,India,5.173,16,1.06,63,medium,20.707,211.464,60,Indian Grand Prix,110000
69,Circuit of the Americas,Race circuit,Anti-clockwise,2,United States,5.513,20,1.09,59,medium,18.6,206.374,56,United States Grand Prix,120000
70,Red Bull Ring,Race circuit,Clockwise,3,Austria,4.326,10,0.868,79,medium-low,16.1,236.895,71,Austrian Grand Prix,105000
71,Sochi Autodrom,Race circuit,Clockwise,2,Russia,5.848,15,1.073,75,medium,25.6,217.388,53,Russian Grand Prix,55000
73,Baku City Circuit,Street circuit,Anti-clockwise,2,Azerbaijan,6.003,20,2.22,49,low,16.5,209.795,51,European Grand Prix,18500
75,Algarve International Circuit,Race circuit,Clockwise,2,Portugal,4.653,15,1,66,medium-high,25,212.708,66,Portuguese Grand Prix,100000
76,Autodromo Internazionale del Mugello,Race circuit,Clockwise,1,Italy,5.245,15,1.141,61.2,high,18,239.518,59,Tuscan Grand Prix,50000
77,Jeddah Corniche Circuit,Street circuit,Anti-clockwise,3,Saudi Arabia,6.175,27,0.82,79,low,23,244.962,50,Saudi Arabian Grand Prix,50000
78,Lusail International Circuit,Race circuit,Clockwise,1,Qatar,5.38,16,1.068,68,high,18.9,232.799,57,Qatar Grand Prix,52000
79,Miami International Autodrome,Street circuit,Anti-clockwise,3,United States,5.412,19,1.28,58,medium-low,19.6,213.255,57,Miami Grand Prix,65000
