raceId,year,yflag_start,yflag_end,yellow_laps,Intrerruption,lap_interrapt
1119,2023,2,6,5,no,
1119,2023,26,28,3,no,
1118,2023,1,3,3,yes,2
1117,2023,5,5,1,no,
1117,2023,33,35,3,yes,34
1115,2023,1,4,4,no,
1114,2023,1,4,4,no,
1114,2023,14,14,1,no,
1113,2023,20,22,3,no,
1113,2023,44,45,2,no,
1111,2023,16,21,6,no,
1108,2023,33,38,6,no,
1107,2023,1,3,3,no,
1107,2023,14,16,3,no,
1106,2023,8,8,1,no,
1106,2023,12,16,5,no,
1101,2023,11,13,3,no,
1100,2023,1,3,3,no,
1100,2023,7,9,3,yes,9
1100,2023,18,19,2,no,
1100,2023,54,58,5,yes,56
1099,2023,18,20,3,no,
1098,2023,41,42,2,no,
1095,2022,1,6,6,no,
1094,2022,65,66,2,no,
1093,2022,18,25,8,no,
1092,2022,2,5,4,yes,3
1091,2022,8,10,3,no,
1091,2022,22,23,2,no,
1091,2022,26,30,5,no,
1091,2022,36,39,4,no,
1089,2022,12,13,2,no,
1089,2022,48,53,6,no,
1088,2022,48,50,3,no,
1088,2022,56,60,5,no,
1087,2022,2,4,3,no,
1086,2022,2,3,2,no,
1086,2022,68,69,2,no,
1085,2022,18,20,3,no,
1085,2022,50,50,1,no,
1084,2022,58,59,2,no,
1083,2022,1,2,2,yes,1
1083,2022,39,42,4,no,
1082,2022,9,10,2,no,
1082,2022,20,21,2,no,
1082,2022,49,54,6,no,
1081,2022,9,10,2,no,
1081,2022,33,35,3,no,
1080,2022,1,2,2,no,
1080,2022,27,32,6,yes,30
1078,2022,41,46,6,no,
1077,2022,1,4,4,no,
1076,2022,3,6,4,no,
1076,2022,23,26,4,no,
1076,2022,39,40,2,no,
1075,2022,17,20,4,no,
1075,2022,38,41,4,no,
1074,2022,46,50,5,no,
1073,2021,36,37,2,no,
1073,2021,53,57,5,no,
1072,2021,10,13,4,yes,13
1072,2021,14,16,3,yes,15
1072,2021,23,24,2,no,
1072,2021,29,33,5,no,
1072,2021,36,36,1,no,
1051,2021,55,56,2,no,
1071,2021,6,9,4,no,
1071,2021,12,14,3,no,
1071,2021,30,30,1,no,
1070,2021,1,4,4,no,
1069,2021,28,28,1,no,
